,max_depth,sessions_count,sessions_typ_count
750,753,3,0
751,754,3,1
752,755,2,0
753,756,3,1
754,757,5,0
755,758,4,0
756,760,3,1
757,761,6,2
758,762,9,1
759,763,3,1
760,764,6,3
761,765,3,0
762,766,4,0
763,767,4,2
764,768,3,0
765,769,3,0
766,770,2,0
767,771,3,1
768,772,3,1
769,773,2,0
770,774,2,0
771,775,3,0
772,776,5,0
773,777,4,1
774,778,3,0
775,779,1,0
776,780,1,0
777,781,6,0
778,782,3,1
779,783,3,1
780,784,2,2
781,785,3,0
782,786,1,0
783,787,6,1
784,788,1,0
785,789,4,0
786,790,4,0
787,791,1,0
788,793,5,0
789,794,2,0
790,795,3,0
791,796,2,0
792,797,6,1
793,798,2,0
794,799,2,1
795,800,4,0
796,801,4,0
797,802,8,0
798,803,4,1
799,804,1,0
800,805,5,0
801,806,3,0
802,807,5,2
803,808,2,0
804,809,3,1
805,810,2,0
806,811,3,0
807,812,2,0
808,813,2,0
809,814,2,0
810,815,4,0
811,816,6,0
812,817,1,0
813,818,1,0
814,819,4,0
815,820,3,0
816,821,4,0
817,822,2,0
818,823,2,1
819,824,3,0
820,825,1,1
821,826,5,1
822,827,4,0
823,828,2,1
824,829,2,0
825,830,1,0
826,831,4,0
827,832,2,0
828,833,3,1
829,834,3,1
830,836,3,0
831,837,1,0
832,838,6,0
833,839,1,0
834,840,3,0
835,841,2,0
836,842,5,0
837,843,3,0
838,844,3,1
839,846,2,0
840,847,2,1
841,848,1,0
842,849,4,0
843,850,2,0
844,851,3,0
845,853,4,0
846,855,2,0
847,857,2,0
848,858,3,1
849,859,3,0
850,860,4,1
851,861,3,1
852,862,1,0
853,863,4,0
854,864,1,0
855,865,2,0
856,866,2,0
857,867,3,0
858,868,2,1
859,869,4,0
860,870,3,0
861,871,3,0
862,872,2,2
863,873,1,0
864,874,6,1
865,875,9,1
866,876,7,0
867,877,3,0
868,878,1,0
869,879,6,1
870,880,1,0
871,881,3,0
872,882,2,0
873,883,3,1
874,884,2,0
875,885,3,0
876,886,5,0
877,887,2,1
878,888,2,0
879,889,4,0
880,890,6,0
881,891,3,0
882,892,1,0
883,893,2,1
884,894,3,1
885,895,4,0
886,896,4,0
887,898,2,0
888,900,4,0
889,901,2,2
890,902,7,2
891,903,3,1
892,904,1,0
893,905,3,1
894,906,3,0
895,907,4,0
896,908,1,1
897,910,2,0
898,911,4,1
899,912,2,0
900,913,2,0
901,914,5,1
902,915,3,0
903,916,4,1
904,917,2,0
905,918,1,0
906,919,2,0
907,921,5,1
908,922,3,0
909,923,2,0
910,924,1,1
911,925,3,1
912,926,4,0
913,927,1,0
914,928,1,0
915,929,3,0
916,930,1,0
917,931,4,1
918,932,3,1
919,933,2,0
920,934,4,1
921,935,3,0
922,936,4,0
923,937,3,1
924,938,4,1
925,939,1,0
926,940,3,0
927,941,3,0
928,942,3,0
929,943,1,0
930,944,2,0
931,945,3,0
932,946,3,1
933,947,1,1
934,948,5,1
935,949,2,1
936,950,1,0
937,952,3,0
938,953,2,0
939,954,4,1
940,955,2,0
941,956,4,0
942,957,5,0
943,958,2,1
944,959,1,0
945,961,3,0
946,962,1,0
947,964,3,1
948,965,3,1
949,966,1,1
950,967,2,0
951,968,3,0
952,969,1,0
953,970,2,0
954,971,3,1
955,972,3,0
956,973,3,0
957,974,2,1
958,975,3,0
959,976,2,0
960,977,1,0
961,978,1,0
962,979,5,0
963,980,1,0
964,981,2,0
965,982,2,0
966,983,1,0
967,984,1,0
968,985,1,0
969,986,1,0
970,987,2,0
971,988,2,0
972,989,3,1
973,990,6,0
974,991,3,0
975,992,2,0
976,993,2,0
977,994,2,0
978,995,2,1
979,996,2,0
980,997,2,0
981,998,2,0
982,999,1,0
983,1000,4,0
984,1001,1,0
985,1002,3,0
986,1003,2,0
987,1004,2,0
988,1005,1,0
989,1006,5,1
990,1007,2,0
991,1008,4,0
992,1009,1,0
993,1010,4,0
994,1011,2,0
995,1012,2,0
996,1013,1,1
997,1015,4,0
998,1016,1,0
999,1017,2,0
1000,1018,3,1
1001,1019,4,0
1002,1020,2,1
1003,1023,3,1
1004,1024,3,0
1005,1025,2,0
1006,1026,1,0
1007,1027,3,0
1008,1028,4,0
1009,1029,7,1
1010,1030,4,0
1011,1031,3,0
1012,1032,1,0
1013,1033,2,0
1014,1034,2,0
1015,1035,1,0
1016,1036,3,1
1017,1037,1,0
1018,1039,5,0
1019,1040,4,0
1020,1041,1,0
1021,1042,1,0
1022,1043,2,0
1023,1044,1,0
1024,1046,2,1
1025,1047,1,0
1026,1048,6,0
1027,1049,2,1
1028,1051,1,1
1029,1052,1,0
1030,1053,1,0
1031,1055,3,0
1032,1056,1,0
1033,1057,1,0
1034,1059,3,0
1035,1060,2,0
1036,1062,3,0
1037,1063,1,1
1038,1064,2,1
1039,1065,2,0
1040,1066,1,1
1041,1067,2,0
1042,1068,3,0
1043,1069,2,0
1044,1070,2,0
1045,1071,1,0
1046,1072,4,0
1047,1073,2,0
1048,1074,2,0
1049,1075,3,0
1050,1077,2,0
1051,1080,2,0
1052,1081,1,0
1053,1082,2,0
1054,1083,1,0
1055,1084,3,0
1056,1085,3,0
1057,1086,4,1
1058,1088,4,1
1059,1089,1,1
1060,1090,1,0
1061,1091,3,0
1062,1092,2,0
1063,1093,1,0
1064,1094,4,0
1065,1095,1,0
1066,1096,3,0
1067,1098,6,1
1068,1100,2,1
1069,1103,1,0
1070,1104,3,0
1071,1105,1,0
1072,1106,3,0
1073,1107,5,1
1074,1109,1,0
1075,1110,3,0
1076,1112,1,0
1077,1114,2,0
1078,1115,2,0
1079,1116,3,0
1080,1117,3,0
1081,1118,1,0
1082,1119,6,0
1083,1120,1,0
1084,1122,2,0
1085,1123,2,0
1086,1125,1,0
1087,1126,1,1
1088,1127,1,0
1089,1128,1,0
1090,1130,1,0
1091,1131,5,0
1092,1132,1,0
1093,1133,1,0
1094,1134,1,0
1095,1135,2,0
1096,1136,3,0
1097,1137,1,0
1098,1138,1,0
1099,1139,1,0
1100,1140,3,0
1101,1141,1,0
1102,1143,3,1
1103,1144,1,0
1104,1145,1,0
1105,1147,1,0
1106,1148,2,0
1107,1149,3,0
1108,1151,1,1
1109,1152,4,1
1110,1153,4,0
1111,1154,4,0
1112,1155,3,0
1113,1156,1,0
1114,1157,2,0
1115,1158,1,0
1116,1159,2,0
1117,1160,3,0
1118,1161,3,0
1119,1162,1,0
1120,1164,3,0
1121,1165,3,1
1122,1166,3,0
1123,1167,2,0
1124,1168,2,1
1125,1169,2,0
1126,1171,1,0
1127,1172,1,0
1128,1173,5,0
1129,1174,3,1
1130,1175,1,0
1131,1176,2,1
1132,1177,1,0
1133,1178,2,1
1134,1179,2,0
1135,1180,3,0
1136,1182,1,1
1137,1184,2,0
1138,1185,2,0
1139,1186,2,0
1140,1187,3,0
1141,1189,1,0
1142,1190,1,1
1143,1191,4,0
1144,1192,3,0
1145,1193,1,0
1146,1194,1,0
1147,1195,5,1
1148,1198,1,0
1149,1199,2,0
1150,1201,1,1
1151,1202,1,0
1152,1203,2,0
1153,1204,1,0
1154,1205,1,0
1155,1206,2,1
1156,1207,1,0
1157,1209,1,0
1158,1210,3,0
1159,1211,3,1
1160,1212,1,0
1161,1214,1,0
1162,1215,1,0
1163,1216,2,0
1164,1217,4,0
1165,1219,1,0
1166,1220,2,1
1167,1221,4,0
1168,1222,1,0
1169,1223,2,0
1170,1224,2,0
1171,1225,1,0
1172,1226,1,0
1173,1227,2,0
1174,1228,1,0
1175,1229,2,0
1176,1230,1,0
1177,1231,5,2
1178,1232,5,1
1179,1233,1,0
1180,1234,4,1
1181,1235,1,0
1182,1237,2,0
1183,1238,2,0
1184,1239,1,0
1185,1240,3,0
1186,1241,3,2
1187,1242,6,1
1188,1243,4,0
1189,1244,3,0
1190,1245,1,0
1191,1246,3,1
1192,1248,2,0
1193,1249,3,0
1194,1251,1,0
1195,1252,1,0
1196,1255,3,0
1197,1256,3,1
1198,1257,2,0
1199,1259,3,0
1200,1260,1,0
1201,1262,1,1
1202,1263,2,0
1203,1264,3,0
1204,1265,3,1
1205,1266,1,1
1206,1267,2,0
1207,1268,1,0
1208,1270,1,0
1209,1271,1,0
1210,1272,1,0
1211,1273,3,0
1212,1274,2,0
1213,1275,3,0
1214,1276,1,0
1215,1277,2,0
1216,1278,1,0
1217,1279,4,0
1218,1280,1,0
1219,1281,1,0
1220,1282,3,0
1221,1283,1,0
1222,1284,1,0
1223,1285,1,0
1224,1287,1,0
1225,1288,1,0
1226,1289,2,0
1227,1290,4,2
1228,1291,2,1
1229,1292,1,0
1230,1293,2,0
1231,1294,3,1
1232,1295,3,0
1233,1296,1,0
1234,1297,1,0
1235,1298,3,0
1236,1299,1,0
1237,1302,4,1
1238,1303,4,0
1239,1304,1,1
1240,1306,1,0
1241,1308,4,0
1242,1309,2,0
1243,1310,1,0
